Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,91.570000,92.339996,91.480003,91.849998,90.341835,286000
2019-04-09,91.570000,91.570000,90.459999,90.669998,89.181213,169500
2019-04-10,90.910004,91.449997,90.860001,91.080002,89.584480,98200
2019-04-11,91.000000,91.750000,90.410004,91.050003,89.554977,185800
2019-04-12,92.300003,92.400002,91.209999,91.419998,89.918900,185700
2019-04-15,91.330002,91.510002,90.669998,90.839996,89.348419,653600
2019-04-16,91.050003,91.529999,90.790001,91.379997,89.879547,134800
2019-04-17,91.879997,92.120003,91.150002,91.300003,89.800873,220400
2019-04-18,91.639999,91.690002,90.629997,90.790001,89.299248,148100
2019-04-22,91.669998,92.910004,91.519997,92.839996,91.315575,292700
2019-04-23,93.000000,93.169998,92.199997,92.879997,91.354919,302800
2019-04-24,92.959999,92.959999,91.059998,91.139999,89.643494,145200
2019-04-25,91.150002,91.430000,90.550003,90.690002,89.200890,201100
2019-04-26,90.000000,90.000000,88.680000,89.620003,88.148460,381400
2019-04-29,89.529999,89.870003,89.230003,89.449997,87.981239,220200
2019-04-30,90.139999,90.500000,89.029999,89.209999,87.745186,127300
2019-05-01,89.180000,89.309998,87.250000,87.269997,85.837044,207500
2019-05-02,86.750000,87.150002,85.709999,85.779999,84.371498,408300
2019-05-03,86.430000,87.269997,86.430000,86.550003,85.128868,278200
2019-05-06,85.779999,87.010002,85.779999,86.629997,85.207542,385600
2019-05-07,85.760002,86.040001,84.879997,86.040001,84.627235,324800
2019-05-08,85.989998,86.680000,85.800003,85.970001,84.558388,332500
2019-05-09,85.610001,86.199997,84.720001,85.889999,84.479698,338000
2019-05-10,85.860001,86.580002,84.730003,86.389999,84.971489,136000
2019-05-13,85.650002,85.910004,84.320000,84.730003,83.338753,330700
2019-05-14,85.190002,86.580002,85.190002,85.900002,84.489540,148200
2019-05-15,85.379997,86.580002,85.139999,86.400002,84.981323,300800
2019-05-16,86.739998,87.230003,86.739998,86.949997,85.522293,269400
2019-05-17,86.419998,86.720001,85.809998,85.910004,84.499374,115400
2019-05-20,85.800003,86.239998,85.620003,85.860001,84.450195,117300
2019-05-21,86.160004,87.000000,86.070000,86.870003,85.443611,146800
2019-05-22,86.309998,86.559998,85.019997,85.209999,83.810867,160700
2019-05-23,84.000000,84.110001,81.809998,82.349998,80.997826,455400
2019-05-24,83.000000,83.070000,81.860001,82.489998,81.135521,247400
2019-05-28,82.669998,82.669998,81.540001,81.599998,80.260139,258000
2019-05-29,80.500000,81.300003,80.050003,81.160004,79.827370,423400
2019-05-30,81.120003,81.190002,79.919998,80.110001,78.794609,277400
2019-05-31,78.989998,79.730003,78.709999,78.769997,77.476601,596000
2019-06-03,79.239998,80.089996,79.180000,79.870003,78.558556,387400
2019-06-04,80.489998,81.379997,80.339996,81.309998,79.974899,281900
2019-06-05,81.279999,81.410004,79.660004,80.190002,78.873299,297500
2019-06-06,80.440002,81.750000,80.440002,81.489998,80.151947,256000
2019-06-07,81.599998,82.360001,81.489998,81.820000,80.476524,234000
2019-06-10,82.089996,82.839996,81.919998,81.989998,80.643738,264800
2019-06-11,82.750000,83.000000,82.120003,82.120003,80.771606,300700
2019-06-12,81.620003,81.620003,80.540001,80.779999,79.453606,250000
2019-06-13,81.660004,82.050003,81.519997,81.820000,80.476524,269900
2019-06-14,82.019997,82.019997,80.959999,81.160004,79.827370,109100
2019-06-17,80.930000,82.070000,80.779999,81.879997,80.535545,354600
2019-06-18,82.540001,83.629997,82.500000,83.080002,81.715843,156400
2019-06-19,82.949997,83.500000,82.580002,82.919998,81.558464,150500
2019-06-20,84.150002,85.059998,84.000000,84.820000,83.427269,235800
2019-06-21,84.279999,85.000000,84.279999,84.820000,84.108505,231400
2019-06-24,84.720001,84.930000,83.820000,83.900002,83.196228,257100
2019-06-25,83.870003,83.870003,83.160004,83.269997,82.571503,171900
2019-06-26,84.199997,85.239998,83.970001,84.589996,83.880432,248000
2019-06-27,84.660004,84.800003,83.830002,83.980003,83.275558,136900
2019-06-28,84.169998,85.110001,84.169998,85.019997,84.306824,175700
2019-07-01,86.040001,86.489998,84.970001,85.169998,84.455566,192000
2019-07-02,84.970001,85.010002,83.320000,83.639999,82.938400,177000
2019-07-03,83.820000,84.080002,83.330002,84.080002,83.374718,134300
2019-07-05,83.709999,84.250000,83.410004,84.250000,83.543289,214300
2019-07-08,84.040001,84.779999,83.839996,84.160004,83.454048,192000
2019-07-09,84.089996,84.300003,83.500000,84.300003,83.592873,290100
2019-07-10,84.889999,85.680000,84.800003,85.559998,84.842293,169400
2019-07-11,85.699997,85.769997,85.059998,85.500000,84.782799,157200
2019-07-12,85.580002,86.110001,85.580002,85.820000,85.100121,125300
